oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
130412050160000,Woodlawn CHSD 205,,0.0,,0.0,,0.0,14,100.0,,0.0,14
130580070040000,Iuka CCSD 7,,0.0,,0.0,4,100.0,,0.0,,0.0,4
130581000260000,Patoka CUSD 100,,0.0,,0.0,23,95.8,1,4.2,,0.0,24
130581110020000,Salem SD 111,,0.0,,0.0,50,54.3,42,45.7,,0.0,92
130581350020000,Centralia SD 135,,0.0,,0.0,38,31.7,82,68.3,,0.0,120
130582000170000,Centralia HSD 200,,0.0,,0.0,,0.0,125,100.0,,0.0,125
130584010260000,South Central CUD 401,,0.0,,0.0,,0.0,10,100.0,,0.0,10
130585010260000,Sandoval CUSD 501,1,0.8,,0.0,78,65.0,41,34.2,,0.0,120
130586000160000,Salem CHSD 600,,0.0,,0.0,246,85.4,42,14.6,,0.0,288
130587220260000,Odin PSD 722,,0.0,1,0.9,93,83.8,17,15.3,,0.0,111
130950100260000,West Washington Co CUD 10,,0.0,,0.0,4,40.0,6,60.0,,0.0,10
130950150040000,Ashley CCSD 15,,0.0,,0.0,10,55.6,8,44.4,,0.0,18
130950990160000,Nashville CHSD 99,,0.0,,0.0,13,59.1,9,40.9,,0.0,22
150162990250000,City of Chicago SD 299,77,0.1,37,0.1,39721,56.0,31078,43.8,69,0.1,70982
160194240260000,Genoa Kingston CUSD 424,,0.0,,0.0,13,34.2,25,65.8,,0.0,38
160194250260000,Indian Creek CUSD 425,,0.0,,0.0,38,46.9,43,53.1,,0.0,81
160194260260000,Hiawatha CUSD 426,,0.0,,0.0,88,72.1,34,27.9,,0.0,122
160194270260000,Sycamore CUSD 427,,0.0,,0.0,176,62.6,105,37.4,,0.0,281
160194280260000,DeKalb CUSD 428,1,0.1,1,0.1,668,56.2,518,43.6,,0.0,1188
160194290260000,Hinckley Big Rock CUSD 429,,0.0,,0.0,3,13.6,19,86.4,,0.0,22
160194300260000,Sandwich CUSD 430,,0.0,,0.0,124,63.3,72,36.7,,0.0,196
160194320260000,Somonauk CUSD 432,,0.0,2,4.3,18,39.1,26,56.5,,0.0,46
170200150260000,Clinton CUSD 15,,0.0,,0.0,,0.0,1,100.0,,0.0,1
170200180260000,Blue Ridge CUSD 18,,0.0,,0.0,84,60.9,54,39.1,,0.0,138
170530050260000,Woodland CUSD 5,,0.0,,0.0,,0.0,17,100.0,,0.0,17
17053006J260000,Tri Point CUSD 6-J,,0.0,,0.0,17,48.6,18,51.4,,0.0,35
170530080260000,Prairie Central CUSD 8,,0.0,,0.0,3,5.7,50,94.3,,0.0,53
170530740270000,Flanagan-Cornell Dist 74,,0.0,,0.0,9,45.0,11,55.0,,0.0,20
170530900170000,Pontiac Twp HSD 90,,0.0,,0.0,8,14.0,49,86.0,,0.0,57
170532300170000,Dwight Twp HSD 230,,0.0,1,2.4,25,61.0,15,36.6,,0.0,41
170532320020000,Dwight Common SD 232,1,6.7,,0.0,5,33.3,9,60.0,,0.0,15
170534290040000,Pontiac CCSD 429,,0.0,,0.0,33,35.9,59,64.1,,0.0,92
170534350040000,Odell CCSD 435,,0.0,,0.0,3,20.0,12,80.0,,0.0,15
170540230260000,Mt Pulaski CUSD 23,,0.0,,0.0,8,18.6,35,81.4,,0.0,43
170540270020000,Lincoln ESD 27,,0.0,,0.0,326,80.9,77,19.1,,0.0,403
170540880020000,New Holland-Middletown ED 88,,0.0,,0.0,13,81.3,3,18.8,,0.0,16
170544040160000,Lincoln CHSD 404,,0.0,,0.0,829,74.8,279,25.2,,0.0,1108
170640020260000,LeRoy CUSD 2,,0.0,,0.0,,0.0,3,100.0,,0.0,3
170640030260000,Tri Valley CUSD 3,,0.0,,0.0,,0.0,2,100.0,,0.0,2
170640040260000,Heyworth CUSD 4,,0.0,,0.0,7,31.8,15,68.2,,0.0,22
170640050260000,McLean County USD 5,4,0.3,18,1.4,416,32.7,834,65.6,,0.0,1272
170640070260000,Lexington CUSD 7,,0.0,,0.0,1,8.3,11,91.7,,0.0,12
170640160260000,Olympia CUSD 16,,0.0,,0.0,147,80.8,35,19.2,,0.0,182
170640190260000,Ridgeview CUSD 19,,0.0,,0.0,1,25.0,3,75.0,,0.0,4
170640870250000,Bloomington SD 87,,0.0,,0.0,403,35.1,746,64.9,,0.0,1149
190220020020000,Bensenville SD 2,,0.0,,0.0,99,92.5,7,6.5,1,0.9,107
190220070020000,Wood Dale SD 7,,0.0,,0.0,25,59.5,17,40.5,,0.0,42
