distID,District,County,white_district,black_district,hispanic_district,asian_district,nathawaiian_district,NativeAmerica_district,multi_district,lep_district,iiep_district,lowInc_district,home_district
070161670020000,Brookwood SD 167,Cook,5,75.8,17.2,0,0.1,0.1,1.8,9.8,10.1,68.2,1.5
190221080160000,Lake Park CHSD 108,Dupage,65.3,6.4,17.1,8.5,0.1,0.4,2,1.4,10.8,15.3,0.7
190222000260000,CUSD 200,Dupage,65.3,6.7,17.1,6.5,0,0.2,4.2,9.3,16.2,30.1,1.2
240473080260000,Oswego CUSD 308,Kendall,60.5,8,17.1,6.6,0.2,1.1,6.4,5.3,12.8,26.6,0.5
070161275020000,Chicago Ridge SD 127-5,Cook,69.3,10.2,17,1.6,0,0.3,1.6,28.8,16.1,76.3,2.2
440631540160000,Marengo CHSD 154,McHenry,78.5,0.9,16.8,1.5,0.1,0.4,1.7,2.3,11.9,35.3,1.6
090101420040000,Ludlow CCSD 142,Champaign,69.2,10.3,16.7,1.3,0,0,2.6,14.1,20.5,98.7,0
050162020170000,Evanston Twp HSD 202,Cook,43.7,30.2,16.6,4.7,0.1,0.3,4.3,2.7,14.4,42.6,4.5
440630260040000,Cary CCSD 26,McHenry,77.1,0.6,16.4,1.8,0.2,0.5,3.5,7.2,14.7,24.7,0.6
070161170020000,North Palos SD 117,Cook,73.9,4.7,16.3,2.6,0.1,0.1,2.4,29.9,11.1,62.6,0.6
340490380020000,Big Hollow SD 38,Lake,70,4.9,16.3,5.3,0.1,0.1,3.4,6.3,15,27.4,1
56099200U260000,Beecher CUSD 200U,Will,79.4,1.4,16.3,0.7,0,0.2,2,2.4,13.9,31.5,0.5
050160680020000,Skokie SD 68,Cook,36.4,10.4,16.1,32,0.1,0.4,4.6,15.5,14.8,51.9,1.7
190220480020000,Salt Creek SD 48,Dupage,58.1,8.9,16,14.3,0.2,0,2.5,9.5,11.6,44.4,0.6
560992050170000,Lockport Twp HSD 205,Will,74.9,6,15.9,1.1,0,0.2,1.9,1.3,14.9,22.4,0.8
190220600020000,Maercker SD 60,Dupage,45.3,10.7,15.8,23.7,0.1,0.3,4.1,15.4,9.1,41.3,0.7
160194240260000,Genoa Kingston CUSD 424,Dekalb,81.8,1.4,15.6,0.7,0.2,0,0.3,6.3,10.5,40.7,0.2
190220440020000,Lombard SD 44,Dupage,62.2,6.6,15.6,11.7,0.2,0.2,3.5,11.4,13.6,36.3,1.9
060160790020000,Pennoyer SD 79,Cook,74.1,0.5,15.5,7.2,0,0,2.8,14.4,10.2,28,0
130140620020000,Damiansville SD 62,Clinton,79.1,0,15.5,0,0,0,5.5,0.9,11.8,34.5,1.8
320463020160000,St Anne CHSD 302,Kankakee,35.9,41.3,15.4,0,0,0,7.3,0,16.2,76.4,4.6
050160710020000,Niles ESD 71,Cook,57.8,1.7,15.3,23.5,0,0.6,1.1,9.6,9.2,44.8,10.4
440631560160000,McHenry CHSD 156,McHenry,80.3,0.8,15.3,1.1,0,0.4,2.2,1.9,13.8,32.6,1
060160800020000,Norridge SD 80,Cook,76.7,0.5,15.2,5.8,0,0.2,1.5,10.9,12,40.2,0.5
070161460040000,CCSD 146,Cook,73.5,4.3,15.1,2.6,0,0,4.3,9.7,13.6,38.4,0.9
190220100020000,Itasca SD 10,Dupage,72.6,1,15.1,9.5,0,0.3,1.4,7.3,12.3,14.1,0.5
240321110160000,Minooka CHSD 111,Grundy,77.2,4.1,15.1,0.6,0.1,0.2,2.7,2.1,9.4,3.3,0.2
060160920020000,Lindop SD 92,Cook,0.7,82.3,15,0,0,0,2,5.8,10.6,75.9,0.4
160194300260000,Sandwich CUSD 430,Dekalb,82.8,0.2,15,1.2,0,0,0.7,4,14.6,42.7,1.7
060161020020000,La Grange SD 102,Cook,74.9,6.1,14.9,2.1,0,0.1,2,5,12.9,11.7,0.5
070161710020000,Sunnybrook SD 171,Cook,5.1,73.3,14.9,1.3,0.2,0.1,5,12.9,15.3,78.5,3.3
070161270020000,Worth SD 127,Cook,72.2,3.4,14.7,1.9,0,0.1,7.6,17.6,15.4,58.4,1.1
240321010160000,Morris CHSD 101,Grundy,81.1,1.6,14.5,1,0.1,0.2,1.5,0.6,11.2,23.7,0.2
190222050260000,Elmhurst SD 205,Dupage,74.2,2.5,14.4,5.6,0.1,0.1,3.1,6.8,13.7,18.5,0.3
340491130170000,Twp HSD 113,Lake,79.2,1.4,14.3,2.4,0.1,0.1,2.6,2.9,16.5,10.8,0.3
050160720020000,Fairview SD 72,Cook,49.4,1.6,14.2,31.1,0.4,0,3.2,10.6,17.1,32.2,0
080431200220000,Galena USD 120,Jo Daviess,81.7,2.1,14.1,1.1,0,0,1,6.8,11.6,37.9,0.2
190220410020000,Glen Ellyn SD 41,Dupage,66,4.1,14.1,12.3,0,0.2,3.3,14.3,11.3,25.7,1.3
350501250020000,Oglesby ESD 125,La Salle,82.3,1.5,13.9,0.5,0,0.2,1.6,1.3,13.8,55.6,8.6
050160310020000,West Northfield SD 31,Cook,48.5,2.6,13.8,33.2,0.1,0,1.8,23.4,10.4,23.4,0.3
320460610020000,Bradley SD 61,Kankakee,67,7.4,13.8,0.6,0.2,0.2,10.8,6.2,16.2,55.3,3
350501410020000,Ottawa ESD 141,La Salle,77.7,2.9,13.8,0.9,0,0.7,4,3.2,16.1,58,1.1
050160340040000,Glenview CCSD 34,Cook,65.6,1.5,13.7,15.8,0.1,0.1,3.2,15.2,12.6,24.8,0.2
