zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
63436,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,131.8844228,100.0,264.11557719999996,396.0
63437,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,137.8091093,93.9,258.1908907,396.0
63438,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,92.59493671,92.9,303.40506329,396.0
63439,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,91.70114473,100.0,304.29885527,396.0
63440,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,107.7704116,95.9,288.2295884,396.0
63441,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,68.95181818,97.8,327.04818181999997,396.0
63443,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,215.2278975,98.9,180.7721025,396.0
63445,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,111.120234,97.5,284.879766,396.0
63446,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,80.04476243,95.6,315.95523757,396.0
63447,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,91.01789311,87.2,304.98210689,396.0
63448,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,110.5794226,84.9,285.4205774,396.0
63450,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,176.9393939,100.0,219.0606061,396.0
63451,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,99.87664827,100.0,296.12335172999997,396.0
63452,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,80.82240788,99.5,315.17759212,396.0
63453,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,126.7208672,93.7,269.2791328,396.0
63454,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,217.3945258,91.2,178.6054742,396.0
63456,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,104.6930688,90.7,291.3069312,396.0
63457,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,174.3865979,95.5,221.6134021,396.0
